Unnamed: 0,kernel,molecule,backend,expect,expect_ideal,expect_sq,expect_sq_ideal,fidelity,depth,n_2qubit,Kernel,std,std_ideal,bias,bias_rel,Molecule,Groups
68,qwc,BeH2,ibmq_torino,-7.672984913044583e-07,-7.692944607196899e-07,3.745240048575739e-05,3.745240048575739e-05,-1.0,4,0,QWC,0.006119836590711423,0.006119836590460845,1.9959694152315718e-09,1.9959694152315718e-09,$\mathrm{BeH_2}$,1
69,qwc,BeH2,ibmq_torino,-7.672984913043692e-07,-7.692944607196476e-07,3.7452400485757424e-05,3.7452400485757424e-05,-1.0,4,0,QWC,0.006119836590711426,0.006119836590460848,1.9959694152783703e-09,1.9959694152783703e-09,$\mathrm{BeH_2}$,1
70,qwc,BeH2,ibmq_torino,-7.672984913044595e-07,-7.692944607196471e-07,3.745240048575748e-05,3.745240048575748e-05,-1.0,4,0,QWC,0.00611983659071143,0.006119836590460853,1.995969415187632e-09,1.995969415187632e-09,$\mathrm{BeH_2}$,1
71,qwc,BeH2,ibmq_torino,-7.672984913047383e-07,-7.692944607197081e-07,3.74524004857574e-05,3.74524004857574e-05,-1.0,4,0,QWC,0.006119836590711424,0.006119836590460846,1.9959694149698386e-09,1.9959694149698386e-09,$\mathrm{BeH_2}$,1
72,qwc,BeH2,ibmq_torino,-3.277251842476974e-05,-3.28577693991437e-05,5.9323237947963695e-05,5.9323237947963695e-05,-1.0,4,0,QWC,0.007702088282407558,0.007702087919191381,8.525097437396344e-08,0.0025945453977221336,$\mathrm{BeH_2}$,1
73,qwc,BeH2,ibmq_torino,-3.316245841756562e-05,-3.324872374072318e-05,5.4350540158160394e-05,5.4350540158160394e-05,-1.0,4,0,QWC,0.00737220729561453,0.00737220690706182,8.626532315756085e-08,0.0025945453975998096,$\mathrm{BeH_2}$,1
74,qwc,BeH2,ibmq_torino,-3.2772518424769026e-05,-3.2857769399143e-05,5.9323237947963675e-05,5.9323237947963675e-05,-1.0,4,0,QWC,0.007702088282407556,0.007702087919191379,8.5250974373977e-08,0.002594545397722601,$\mathrm{BeH_2}$,1
75,qwc,BeH2,ibmq_torino,-3.277251842476815e-05,-3.285776939914203e-05,5.932323794796403e-05,5.932323794796403e-05,-1.0,3,0,QWC,0.007702088282407579,0.0077020879191914025,8.525097437387535e-08,0.002594545397719585,$\mathrm{BeH_2}$,1
76,qwc,BeH2,ibmq_torino,2.2721877276318612e-07,2.2724637191535594e-07,2.079294693803191e-05,2.079294693803191e-05,-1.0,4,0,QWC,0.004559928386104714,0.004559928386103339,-2.7599152169819574e-11,2.7599152169819574e-11,$\mathrm{BeH_2}$,1
77,qwc,BeH2,ibmq_torino,5.35611695375435e-07,5.359755584510134e-07,2.365214727252012e-05,2.365214727252012e-05,-1.0,4,0,QWC,0.004863347302593167,0.00486334730255308,-3.638630755783363e-10,3.638630755783363e-10,$\mathrm{BeH_2}$,1
78,qwc,BeH2,ibmq_torino,-2.2340474279191974e-07,-2.239862375258825e-07,2.257454319065154e-05,2.257454319065154e-05,-1.0,4,0,QWC,0.004751267529906295,0.004751267529878917,5.814947339627465e-10,5.814947339627465e-10,$\mathrm{BeH_2}$,1
79,qwc,BeH2,ibmq_torino,-3.1115296649359234e-06,-3.119623643960498e-06,2.0611067518169098e-05,2.0611067518169098e-05,-1.0,4,0,QWC,0.004539940289976537,0.004539940284421968,8.093979024574804e-09,0.002594537017388144,$\mathrm{BeH_2}$,1
80,qwc,BeH2,ibmq_torino,-1.3273251826045662e-06,-1.3292270384708791e-06,2.302738932330054e-05,2.302738932330054e-05,-1.0,4,0,QWC,0.004798686024476742,0.004798686023950308,1.901855866312889e-09,0.0014307983596998995,$\mathrm{BeH_2}$,1
81,qwc,BeH2,ibmq_torino,2.2721877276308982e-07,2.2724637191527687e-07,2.079294693803191e-05,2.079294693803191e-05,-1.0,4,0,QWC,0.004559928386104714,0.004559928386103339,-2.75991521870514e-11,2.75991521870514e-11,$\mathrm{BeH_2}$,1
82,qwc,BeH2,ibmq_torino,-2.234047427919215e-07,-2.2398623752618355e-07,2.2574543190651493e-05,2.2574543190651493e-05,-1.0,4,0,QWC,0.00475126752990629,0.004751267529878912,5.814947342620667e-10,5.814947342620667e-10,$\mathrm{BeH_2}$,1
83,qwc,BeH2,ibmq_torino,-3.1115296649358547e-06,-3.1196236439605308e-06,2.0611067518169136e-05,2.0611067518169136e-05,-1.0,4,0,QWC,0.004539940289976541,0.004539940284421972,8.093979024676025e-09,0.0025945370174205633,$\mathrm{BeH_2}$,1
84,qwc,BeH2,ibmq_torino,-2.72246065777612e-05,-2.7295425799123708e-05,3.1429979615528494e-05,3.1429979615528494e-05,-1.0,4,0,QWC,0.005606178594758214,0.005606178250400083,7.081922136250763e-08,0.0025945453968621076,$\mathrm{BeH_2}$,1
85,qwc,BeH2,ibmq_torino,-2.7224606577761143e-05,-2.7295425799123766e-05,3.1429979615528534e-05,3.1429979615528534e-05,-1.0,3,0,QWC,0.005606178594758217,0.005606178250400087,7.081922136262283e-08,0.0025945453968663225,$\mathrm{BeH_2}$,1
